Review,Liked,cleaned_review,raw_length,cleaned_length
This place has it!,1,place,18,5
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,pan cake everyone raving taste like sugary disaster tailored palate six year old,110,80
I love the Pho and the spring rolls oh so yummy you have to try.,1,love pho spring roll oh yummy try,64,33
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,poor batter meat ratio made chicken tender unsatisfying,73,55
All I have to say is the food was amazing!!!,1,say food amazing,44,16
Omelets are to die for!,1,omelet die,23,10
Everything was fresh and delicious!,1,everything fresh delicious,35,26
"In summary, this was a largely disappointing dining experience.",0,summary largely disappointing dining experience,63,47
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,like really sexy party mouth youre outrageously flirting hottest person party,117,77
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,never hard rock casino never ever step forward,80,46
Best breakfast buffet!!!,1,best breakfast buffet,24,21
say bye bye to your tip lady!,0,say bye bye tip lady,29,20
We'll never go again.,0,well never go,21,13
Will be back again!,1,back,19,4
Food arrived quickly!,1,food arrived quickly,21,20
It was not good.,0,good,16,4
"On the up side, their cafe serves really good food.",1,side cafe serf really good food,51,31
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,server fantastic found wife love roasted garlic bone marrow added extra meal another marrow go,146,94
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,good thing waiter helpful kept bloddy mary coming,90,49
"Best Buffet in town, for the price you cannot beat it.",1,best buffet town price beat,54,27
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,loved mussel cooked wine reduction duck tender potato dish delicious,113,68
This is one of the better buffets that I have been to.,1,one better buffet,54,17
So we went to Tigerlilly and had a fantastic afternoon!,1,went tigerlilly fantastic afternoon,55,35
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,food delicious bartender attentive personable got great deal,91,60
The ambience is wonderful and there is music playing.,1,ambience wonderful music playing,53,32
Will go back next trip out.,1,go back next trip,27,17
Sooooo good!!,1,sooooo good,13,11
"REAL sushi lovers, let's be honest - Yama is not that good.",0,real sushi lover let honest yama good,59,37
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,least min passed u ordering food arriving wasnt busy,92,52
This is a really fantastic Thai restaurant which is definitely worth a visit.,1,really fantastic thai restaurant definitely worth visit,77,55
"Nice, spicy and tender.",1,nice spicy tender,23,17
Good prices.,1,good price,12,10
Check it out.,1,check,13,5
It was pretty gross!,0,pretty gross,20,12
I've had better atmosphere.,0,ive better atmosphere,27,21
Kind of hard to mess up a steak but they did.,0,kind hard mess steak,45,20
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,although much liked look sound place actual experience bit disappointing,107,72
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,dont know place managed served blandest food ever eaten preparing indian cuisine,126,80
"Worst service to boot, but that is the least of their worries.",0,worst service boot least worry,62,30
Service was fine and the waitress was friendly.,1,service fine waitress friendly,47,30
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,guy steak steak loving son steak best worst place said best steak he ever eaten,140,79
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,thought youd venture away get good sushi place really hit spot night,111,68
"Host staff were, for lack of a better word, BITCHES!",0,host staff lack better word bitch,52,33
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,bland liking place number reason dont want waste time bad reviewing ill leave,131,77
"Phenomenal food, service and ambiance.",1,phenomenal food service ambiance,38,32
I wouldn't return.,0,wouldnt return,18,14
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,definitely worth venturing strip pork belly return next time im vega,96,68
This place is way too overpriced for mediocre food.,0,place way overpriced mediocre food,51,34
Penne vodka excellent!,1,penne vodka excellent,22,21
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burger,139,105
The management is rude.,0,management rude,23,15
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,delicious nyc bagel good selection cream cheese real lox caper even,81,67
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,great subway fact good come every subway meet expectation,105,57
I had a seriously solid breakfast here.,1,seriously solid breakfast,39,25
This is one of the best bars with food in Vegas.,1,one best bar food vega,48,22
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,extremely rude really many restaurant would love dine weekend vega,120,66
My drink was never empty and he made some really great menu suggestions.,1,drink never empty made really great menu suggestion,72,51
Don't do it!!!!,0,dont,15,4
The waiter wasn't helpful or friendly and rarely checked on us.,0,waiter wasnt helpful friendly rarely checked u,63,46
My husband and I ate lunch here and were very disappointed with the food and service.,0,husband ate lunch disappointed food service,85,43
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,red curry much bamboo shoot wasnt tasty,72,39
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,nice blanket moz top feel like done cover subpar food,87,53
The bathrooms are clean and the place itself is well decorated.,1,bathroom clean place well decorated,63,35
"The menu is always changing, food quality is going down & service is extremely slow.",0,menu always changing food quality going service extremely slow,84,62
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,service little slow considering served people server food coming slow pace,119,74
I give it 2 thumbs down,0,give thumb,23,10
We watched our waiter pay a lot more attention to other tables and ignore us.,0,watched waiter pay lot attention table ignore u,77,47
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,fiancé came middle day greeted seated right away,88,48
This is a great restaurant at the Mandalay Bay.,1,great restaurant mandalay bay,47,29
We waited for forty five minutes in vain.,0,waited forty five minute vain,41,29
Crostini that came with the salad was stale.,0,crostini came salad stale,44,25
Some highlights : Great quality nigiri here!,1,highlight great quality nigiri,44,30
the staff is friendly and the joint is always clean.,1,staff friendly joint always clean,52,33
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,different cut piece day still wonderful tender well well flavored,109,65
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,ordered voodoo pasta first time id really excellent pasta since going gluten free several year ago,126,98
this place is good.,1,place good,19,10
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,unfortunately must hit bakery leftover day everything ordered stale,99,67
I came back today since they relocated and still not impressed.,0,came back today since relocated still impressed,63,47
I was seated immediately.,1,seated immediately,25,18
"Their menu is diverse, and reasonably priced.",1,menu diverse reasonably priced,45,30
Avoid at all cost!,0,avoid cost,18,10
Restaurant is always full but never a wait.,1,restaurant always full never wait,43,33
DELICIOUS!!,1,delicious,11,9
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,place handsdown one best place eat phoenix metro area,81,53
So don't go there if you are looking for good food...,0,dont go looking good food,53,25
I've never been treated so bad.,0,ive never treated bad,31,21
Bacon is hella salty.,1,bacon hella salty,21,17
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,also ordered spinach avocado salad ingredient sad dressing literally zero taste,114,79
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,really vega fine dining used right menu handed lady price listed,121,64
The waitresses are very friendly.,1,waitress friendly,33,17
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,lordy khao soi dish missed curry lover,72,38
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,everything menu terrific also thrilled made amazing accommodation vegetarian daughter,127,85
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,perhaps caught night judging review im inspired go back,100,55
The service here leaves a lot to be desired.,0,service leaf lot desired,44,24
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,atmosphere modern hip maintaining touch coziness,72,48
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,weekly haunt definitely place come back every,81,45
We literally sat there for 20 minutes with no one asking to take our order.,0,literally sat minute one asking take order,75,42
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,burger absolutely flavor meat totally bland burger overcooked charcoal flavor,132,77
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,also decided send back waitress looked like verge heart attack,114,62
I dressed up to be treated so rudely!,0,dressed treated rudely,37,22
It was probably dirt.,0,probably dirt,21,13
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,love place hit spot want something healthy lacking quantity flavor,99,66
I ordered the Lemon raspberry ice cocktail which was also incredible.,1,ordered lemon raspberry ice cocktail also incredible,69,52
"The food sucked, which we expected but it sucked more than we could have imagined.",0,food sucked expected sucked could imagined,82,42
Interesting decor.,1,interesting decor,18,17
What I really like there is the crepe station.,1,really like crepe station,46,25
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,also served hot bread butter home made potato chip bacon bit topvery original good,120,82
you can watch them preparing the delicious food!),1,watch preparing delicious food,49,30
Both of the egg rolls were fantastic.,1,egg roll fantastic,37,18
"When my order arrived, one of the gyros was missing.",0,order arrived one gyro missing,52,30
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,salad wing ice cream dessert left feeling quite satisfied,94,57
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,im really sure joeys voted best hot dog valley reader phoenix magazine,99,70
The best place to go for a tasty bowl of Pho!,1,best place go tasty bowl pho,45,28
The live music on Fridays totally blows.,0,live music friday totally blow,40,30
I've never been more insulted or felt disrespected.,0,ive never insulted felt disrespected,51,36
Very friendly staff.,1,friendly staff,20,14
It is worth the drive.,1,worth drive,22,11
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,heard good thing place exceeding every hope could dreamed,94,57
Food was great and so was the serivce!,1,food great serivce,38,18
The warm beer didn't help.,0,warm beer didnt help,26,20
Great brunch spot.,1,great brunch spot,18,17
Service is friendly and inviting.,1,service friendly inviting,33,25
Very good lunch spot.,1,good lunch spot,21,15
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,ive lived since first last time ive stepped foot place,100,54
The WORST EXPERIENCE EVER.,0,worst experience ever,26,21
Must have been an off night at this place.,0,must night place,42,16
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,side delish mixed mushroom yukon gold puree white corn beateous,80,63
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,bug never showed would given sure side wall bug climbing kitchen,139,64
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,minute waiting salad realized wasnt coming time soon,106,52
My friend loved the salmon tartar.,1,friend loved salmon tartar,34,26
Won't go back.,0,wont go back,14,12
Extremely Tasty!,1,extremely tasty,16,15
Waitress was good though!,1,waitress good though,25,20
Soggy and not good.,0,soggy good,19,10
The Jamaican mojitos are delicious.,1,jamaican mojitos delicious,35,26
Which are small and not worth the price.,0,small worth price,40,17
- the food is rich so order accordingly.,1,food rich order accordingly,40,27
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,shower area outside rinse take full shower unless dont mind nude everyone see,127,77
The service was a bit lacking.,0,service bit lacking,30,19
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,lobster bisque bussell sprout risotto filet needed salt pepperand course none table,118,83
Hopefully this bodes for them going out of business and someone who can cook can come in.,0,hopefully bodes going business someone cook come,89,48
"It was either too cold, not enough flavor or just bad.",0,either cold enough flavor bad,54,29
I loved the bacon wrapped dates.,1,loved bacon wrapped date,32,24
This is an unbelievable BARGAIN!,1,unbelievable bargain,32,20
The folks at Otto always make us feel so welcome and special.,1,folk otto always make u feel welcome special,61,44
"As for the ""mains,"" also uninspired.",0,main also uninspired,36,20
This is the place where I first had pho and it was amazing!!,1,place first pho amazing,60,23
This wonderful experience made this place a must-stop whenever we are in town again.,1,wonderful experience made place muststop whenever town,84,54
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,food isnt bad enough enjoy dealing world worstannoying drunk people,102,67
Very very fun chef.,1,fun chef,19,8
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,ordered double cheeseburger got single patty falling apart picture uploaded yeah still suck,111,91
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,great place couple drink watch sporting event wall covered tv,109,61
"If it were possible to give them zero stars, they'd have it.",0,possible give zero star theyd,60,29
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,description said yum yum sauce another said eel sauce yet another said spicy mayowell none roll sauce,142,101
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,id say would hardest decision honestly m dish taste supposed taste amazing,121,74
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,rolled eye may stayed sure go back try,98,38
"Everyone is very attentive, providing excellent customer service.",1,everyone attentive providing excellent customer service,65,55
Horrible - don't waste your time and money.,0,horrible dont waste time money,43,30
Now this dish was quite flavourful.,1,dish quite flavourful,35,21
By this time our side of the restaurant was almost empty so there was no excuse.,0,time side restaurant almost empty excuse,80,40
"(It wasn't busy either) Also, the building was FREEZING cold.",0,wasnt busy either also building freezing cold,61,45
"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,like reviewer said couldnt pay eat place,78,40
-Drinks took close to 30 minutes to come out at one point.,0,drink took close minute come one point,58,38
"Seriously flavorful delights, folks.",1,seriously flavorful delight folk,36,32
Much better than the other AYCE sushi place I went to in Vegas.,1,much better ayce sushi place went vega,63,38
The lighting is just dark enough to set the mood.,1,lighting dark enough set mood,49,29
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,based subpar service received effort show gratitude business wont going back,116,76
Owner's are really great people.!,1,owner really great people,33,25
There is nothing privileged about working/eating there.,0,nothing privileged workingeating,55,32
The Greek dressing was very creamy and flavorful.,1,greek dressing creamy flavorful,49,31
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,overall dont think would take parent place made similar complaint silently felt,146,79
Now the pizza itself was good the peanut sauce was very tasty.,1,pizza good peanut sauce tasty,62,29
We had 7 at our table and the service was pretty fast.,1,table service pretty fast,54,25
Fantastic service here.,1,fantastic service,23,17
I as well would've given godfathers zero stars if possible.,0,well wouldve given godfather zero star possible,59,47
They know how to make them here.,1,know make,32,9
very tough and very short on flavor!,0,tough short flavor,36,18
I hope this place sticks around.,1,hope place stick around,32,23
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,bar vega ever recall charged tap water,97,38
The restaurant atmosphere was exquisite.,1,restaurant atmosphere exquisite,40,31
"Good service, very clean, and inexpensive, to boot!",1,good service clean inexpensive boot,51,35
The seafood was fresh and generous in portion.,1,seafood fresh generous portion,46,30
"Plus, it's only 8 bucks.",1,plus buck,24,9
"The service was not up to par, either.",0,service par either,38,18
"Thus far, have only visited twice and the food was absolutely delicious each time.",1,thus far visited twice food absolutely delicious time,82,53
Just as good as when I had it more than a year ago!,1,good year ago,51,13
"For a self proclaimed coffee cafe, I was wildly disappointed.",0,self proclaimed coffee cafe wildly disappointed,61,47
The Veggitarian platter is out of this world!,1,veggitarian platter world,45,25
You cant go wrong with any of the food here.,1,cant go wrong food,44,18
You can't beat that.,1,cant beat,20,9
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,stopped place madison ironman friendly kind staff,82,49
The chefs were friendly and did a good job.,1,chef friendly good job,43,22
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,ive better dedicated boba tea spot even jenni pho,81,49
I liked the patio and the service was outstanding.,1,liked patio service outstanding,50,31
The goat taco didn't skimp on the meat and wow what FLAVOR!,1,goat taco didnt skimp meat wow flavor,59,37
I think not again,0,think,17,5
I had the mac salad and it was pretty bland so I will not be getting that again.,0,mac salad pretty bland getting,80,30
I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,went bachi burger friend recommendation disappointed,77,52
Service stinks here!,0,service stink,20,13
I waited and waited.,0,waited waited,20,13
"This place is not quality sushi, it is not a quality restaurant.",0,place quality sushi quality restaurant,64,38
I would definitely recommend the wings as well as the pizza.,1,would definitely recommend wing well pizza,60,42
Great Pizza and Salads!,1,great pizza salad,23,17
Things that went wrong: - They burned the saganaki.,0,thing went wrong burned saganaki,51,32
We waited an hour for what was a breakfast I could have done 100 times better at home.,0,waited hour breakfast could done time better home,86,49
This place is amazing!,1,place amazing,22,13
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.",0,hate disagree fellow yelpers husband disappointed place,101,55
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,waited hour never got either pizza many around u came later,94,59
Just don't know why they were so slow.,0,dont know slow,38,14
"The staff is great, the food is delish, and they have an incredible beer selection.",1,staff great food delish incredible beer selection,83,49
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",0,live neighborhood disappointed wont back convenient location,106,60
I didn't know pulled pork could be soooo delicious.,1,didnt know pulled pork could soooo delicious,51,44
"You get incredibly fresh fish, prepared with care.",1,get incredibly fresh fish prepared care,50,39
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,go gave star rating please know third time eating bachi burger writing review,132,77
I love the fact that everything on their menu is worth it.,1,love fact everything menu worth,58,31
Never again will I be dining at this place!,0,never dining place,43,18
The food was excellent and service was very good.,1,food excellent service good,49,27
Good beer & drink selection and good food selection.,1,good beer drink selection good food selection,52,45
Please stay away from the shrimp stir fried noodles.,0,please stay away shrimp stir fried noodle,52,41
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,potato chip order sad could probably count many chip box probably around,118,72
Food was really boring.,0,food really boring,23,18
Good Service-check!,1,good servicecheck,19,17
This greedy corporation will NEVER see another dime from me!,0,greedy corporation never see another dime,60,41
"Will never, ever go back.",0,never ever go back,25,18
"As much as I'd like to go back, I can't get passed the atrocious service and will never return.",0,much id like go back cant get passed atrocious service never return,95,67
"In the summer, you can dine in a charming outdoor patio - so very delightful.",1,summer dine charming outdoor patio delightful,77,45
I did not expect this to be so good!,1,expect good,36,11
Fantastic food!,1,fantastic food,15,14
She ordered a toasted English muffin that came out untoasted.,0,ordered toasted english muffin came untoasted,61,45
The food was very good.,1,food good,23,9
Never going back.,0,never going back,17,16
"Great food for the price, which is very high quality and house made.",1,great food price high quality house made,68,40
The bus boy on the other hand was so rude.,0,bus boy hand rude,42,17
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.",0,point friend basically figured place joke didnt mind making publicly loudly known,132,81
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.",1,back good bbq lighter fare reasonable pricing tell public back old way,101,70
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1,considering two u left full happy cant go wrong,100,47
All the bread is made in-house!,1,bread made inhouse,31,18
The only downside is the service.,0,downside service,33,16
"Also, the fries are without a doubt the worst fries I've ever had.",0,also fry without doubt worst fry ive ever,66,41
Service was exceptional and food was a good as all the reviews.,1,service exceptional food good review,63,36
"A couple of months later, I returned and had an amazing meal.",1,couple month later returned amazing meal,61,40
Favorite place in town for shawarrrrrrma!!!!!!,1,favorite place town shawarrrrrrma,46,33
The black eyed peas and sweet potatoes... UNREAL!,1,black eyed pea sweet potato unreal,49,34
You won't be disappointed.,1,wont disappointed,26,17
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.",1,could serve vinaigrette may make better overall dish still good,116,63
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.",0,go far many place ive never seen restaurant serf egg breakfast especially,115,73
When my mom and I got home she immediately got sick and she only had a few bites of salad.,0,mom got home immediately got sick bite salad,90,44
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.,0,server pleasant deal dont always honor pizza hut coupon,88,55
"Both of them were truly unbelievably good, and I am so glad we went back.",1,truly unbelievably good glad went back,73,38
"We had fantastic service, and were pleased by the atmosphere.",1,fantastic service pleased atmosphere,61,36
Everything was gross.,0,everything gross,21,16
I love this place.,1,love place,18,10
Great service and food.,1,great service food,23,18
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!,0,first bathroom location dirty seat cover replenished plain yucky,105,64
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed.",0,burger got gold standard burger kind disappointed,82,49
"OMG, the food was delicioso!",1,omg food delicioso,28,18
There is nothing authentic about this place.,0,nothing authentic place,44,23
the spaghetti is nothing special whatsoever.,0,spaghetti nothing special whatsoever,44,36
"Of all the dishes, the salmon was the best, but all were great.",1,dish salmon best great,63,22
The vegetables are so fresh and the sauce feels like authentic Thai.,1,vegetable fresh sauce feel like authentic thai,68,46
It's worth driving up from Tucson!,1,worth driving tucson,34,20
The selection was probably the worst I've seen in Vegas.....there was none.,0,selection probably worst ive seen vegasthere none,75,49
Pretty good beer selection too.,1,pretty good beer selection,31,26
"This place is like Chipotle, but BETTER.",1,place like chipotle better,40,26
